Tanggal,Komoditas,Harga,Sumber
2021-01-04,bawang_merah,35000.0,PIHPS
2021-01-04,bawang_putih_honan,30000.0,PIHPS
2021-01-04,beras_medium,10000.0,PIHPS
2021-01-04,beras_premium,12000.0,PIHPS
2021-01-04,cabai_merah_besar,42500.0,PIHPS
2021-01-04,cabai_merah_keriting,60000.0,PIHPS
2021-01-04,cabai_rawit_merah,62500.0,PIHPS
2021-01-04,daging_ayam_ras,41000.0,PIHPS
2021-01-04,daging_sapi_paha_belakang,120000.0,PIHPS
2021-01-04,daging_sapi_paha_depan,120000.0,PIHPS
2021-01-04,gula_pasir_curah,13500.0,PIHPS
2021-01-04,gula_pasir_kemasan,15500.0,PIHPS
2021-01-04,minyak_goreng_sawit_curah,13500.0,PIHPS
2021-01-04,minyak_goreng_sawit_kemasan_premium,17500.0,PIHPS
2021-01-04,telur_ayam_ras,27500.0,PIHPS
2021-01-05,bawang_merah,35000.0,PIHPS
2021-01-05,bawang_putih_honan,30000.0,PIHPS
2021-01-05,beras_medium,10000.0,PIHPS
2021-01-05,beras_premium,12000.0,PIHPS
2021-01-05,cabai_merah_besar,42500.0,PIHPS
2021-01-05,cabai_merah_keriting,60000.0,PIHPS
2021-01-05,cabai_rawit_merah,67500.0,PIHPS
2021-01-05,daging_ayam_ras,41000.0,PIHPS
2021-01-05,daging_sapi_paha_belakang,120000.0,PIHPS
2021-01-05,daging_sapi_paha_depan,120000.0,PIHPS
2021-01-05,gula_pasir_curah,13500.0,PIHPS
2021-01-05,gula_pasir_kemasan,15500.0,PIHPS
2021-01-05,minyak_goreng_sawit_curah,13500.0,PIHPS
2021-01-05,minyak_goreng_sawit_kemasan_premium,17500.0,PIHPS
2021-01-05,telur_ayam_ras,27500.0,PIHPS
2021-01-06,bawang_merah,35000.0,PIHPS
2021-01-06,bawang_putih_honan,30000.0,PIHPS
2021-01-06,beras_medium,10000.0,PIHPS
2021-01-06,beras_premium,12000.0,PIHPS
2021-01-06,cabai_merah_besar,42500.0,PIHPS
2021-01-06,cabai_merah_keriting,60000.0,PIHPS
2021-01-06,cabai_rawit_merah,72500.0,PIHPS
2021-01-06,daging_ayam_ras,41000.0,PIHPS
2021-01-06,daging_sapi_paha_belakang,120000.0,PIHPS
2021-01-06,daging_sapi_paha_depan,120000.0,PIHPS
2021-01-06,gula_pasir_curah,13500.0,PIHPS
2021-01-06,gula_pasir_kemasan,15500.0,PIHPS
2021-01-06,minyak_goreng_sawit_curah,13500.0,PIHPS
2021-01-06,minyak_goreng_sawit_kemasan_premium,17500.0,PIHPS
2021-01-06,telur_ayam_ras,27500.0,PIHPS
2021-01-07,bawang_merah,35000.0,PIHPS
2021-01-07,bawang_putih_honan,30000.0,PIHPS
2021-01-07,beras_medium,10000.0,PIHPS
2021-01-07,beras_premium,12000.0,PIHPS
2021-01-07,cabai_merah_besar,40000.0,PIHPS
2021-01-07,cabai_merah_keriting,60000.0,PIHPS
2021-01-07,cabai_rawit_merah,72500.0,PIHPS
2021-01-07,daging_ayam_ras,40000.0,PIHPS
2021-01-07,daging_sapi_paha_belakang,120000.0,PIHPS
2021-01-07,daging_sapi_paha_depan,120000.0,PIHPS
2021-01-07,gula_pasir_curah,13500.0,PIHPS
2021-01-07,gula_pasir_kemasan,15500.0,PIHPS
2021-01-07,minyak_goreng_sawit_curah,13500.0,PIHPS
2021-01-07,minyak_goreng_sawit_kemasan_premium,17500.0,PIHPS
2021-01-07,telur_ayam_ras,27500.0,PIHPS
2021-01-08,bawang_merah,32500.0,PIHPS
2021-01-08,bawang_putih_honan,30000.0,PIHPS
2021-01-08,beras_medium,10000.0,PIHPS
2021-01-08,beras_premium,12000.0,PIHPS
2021-01-08,cabai_merah_besar,40000.0,PIHPS
2021-01-08,cabai_merah_keriting,60000.0,PIHPS
2021-01-08,cabai_rawit_merah,70000.0,PIHPS
2021-01-08,daging_ayam_ras,41000.0,PIHPS
2021-01-08,daging_sapi_paha_belakang,120000.0,PIHPS
2021-01-08,daging_sapi_paha_depan,120000.0,PIHPS
2021-01-08,gula_pasir_curah,13500.0,PIHPS
2021-01-08,gula_pasir_kemasan,15500.0,PIHPS
2021-01-08,minyak_goreng_sawit_curah,13500.0,PIHPS
2021-01-08,minyak_goreng_sawit_kemasan_premium,17500.0,PIHPS
2021-01-08,telur_ayam_ras,27500.0,PIHPS
2021-01-11,bawang_merah,32500.0,PIHPS
2021-01-11,bawang_putih_honan,27500.0,PIHPS
2021-01-11,beras_medium,10000.0,PIHPS
2021-01-11,beras_premium,12000.0,PIHPS
